player_id,ppg,apg,rpg,spg,bpg
3317,20.655797101449274,5.269927536231884,3.927536231884058,1.6014492753623188,0.2427536231884058
3318,1.8333333333333333,0.6666666666666666,0.8333333333333334,0,0
3319,8.504570383912249,6.087751371115174,2.9341864716636197,1.4186471663619744,0.283363802559415
3320,1.6481481481481481,1.037037037037037,0.9259259259259259,0.35185185185185186,0.037037037037037035
3321,3.8653136531365315,0.7730627306273062,2.9132841328413286,0.25461254612546125,0.18081180811808117
3322,3.565986394557823,0.8517006802721089,3.6816326530612247,0.5006802721088436,0.4884353741496599
3323,17.087514585764293,2.6651108518086346,4.9533255542590435,1.1610268378063011,0.4282380396732789
3324,2.838709677419355,0.7096774193548387,1.3870967741935485,0.6129032258064516,0.12903225806451613
3325,2.4878048780487805,0.8170731707317073,2.3292682926829267,0.5853658536585366,0.14634146341463414
3326,3.761904761904762,1.2380952380952381,0.5238095238095238,0.23809523809523808,0
3327,15.980422866092404,3.9162098668754894,3.961628817541112,0.8386844166014096,0.20360219263899765
3328,1.2,0.68,0.68,0.24,0
3329,3.5594405594405596,0.7202797202797203,2.4265734265734267,0.5944055944055944,0.1958041958041958
3330,4.28,2.3466666666666667,1.2666666666666666,0.68,0.04
3331,1.1851851851851851,0.2962962962962963,1,0,0.2222222222222222
3332,6.647446457990116,0.9126853377265239,5.490939044481054,0.5337726523887973,0.6194398682042833
3333,2.2,0.2,2.2,0.3333333333333333,0.06666666666666667
3334,2.5813953488372094,0.34418604651162793,3.172093023255814,0.2558139534883721,0.5953488372093023
3335,4.882845188284519,0.4769874476987448,2.8305439330543933,0.2719665271966527,0.4602510460251046
3336,6.667259786476868,0.7473309608540926,2.4626334519572954,0.5231316725978647,0.15658362989323843
3337,3.391304347826087,0.5869565217391305,2.4782608695652173,0.2391304347826087,0.10869565217391304
3338,2.791907514450867,0.5375722543352601,3.4161849710982657,0.14450867052023122,0.27167630057803466
3339,9.853781512605043,3.4873949579831933,2.2252100840336135,0.7697478991596639,0.06386554621848739
3340,2.727272727272727,0.18181818181818182,0.7272727272727273,0,0
3341,5.390243902439025,0.524390243902439,1.6341463414634145,0.35365853658536583,0.13414634146341464
3342,17.042414355628058,3.201468189233279,9.221044045676999,0.49429037520391517,1.5831973898858076
3343,7.866906474820144,0.8093525179856115,3.5,0.4748201438848921,0.420863309352518
3344,7.169590643274854,0.5233918128654971,3.8801169590643276,0.20175438596491227,0.391812865497076
3345,5,0,1,0,0
3346,12.619813717188823,2.0423370025402203,3.9966130397967823,0.6663844199830652,0.2938187976291279
3347,7.064220183486238,1.0871559633027523,2.2247706422018347,0.5412844036697247,0.2981651376146789
3348,0.9772727272727273,0.13636363636363635,1.2954545454545454,0.09090909090909091,0.38636363636363635
3349,7.690744920993228,0.5248306997742663,7.8352144469525955,0.4932279909706546,1.744920993227991
3350,8.605936540429887,1.7574206755373594,4.178096212896622,1.0112589559877174,0.9273285568065507
3351,9.269461077844312,4.31437125748503,2.4850299401197606,1.5059880239520957,0.11976047904191617
3352,4.5425,0.1975,3.16,0.1225,1.055
3353,2.2222222222222223,0.5555555555555556,2,0.4444444444444444,0
3354,3.3956834532374103,0.6690647482014388,2.712230215827338,0.2517985611510791,0.35251798561151076
3355,3.9328358208955225,1.9850746268656716,1.2388059701492538,0.47761194029850745,0.029850746268656716
3356,15.528708133971293,5.610845295055821,2.708133971291866,0.8397129186602871,0.07814992025518341
3357,2.9223300970873787,0.5242718446601942,2.2135922330097086,0.4563106796116505,0.05825242718446602
3358,5.809006211180124,1.7577639751552796,2.8354037267080745,0.43788819875776397,0.422360248447205
3359,10.781893004115226,1.4924554183813443,7.829903978052126,0.6556927297668038,0.40329218106995884
3360,8.197413793103449,0.8336206896551724,9.023275862068965,0.5431034482758621,1.1508620689655173
3361,7.976933514246947,1.3541383989145184,3.7774762550881955,0.728629579375848,0.3568521031207598
3362,5.078260869565217,1.9565217391304348,1.1478260869565218,0.5391304347826087,0.09565217391304348
3363,16.64695340501792,1.836021505376344,9.146953405017921,0.7473118279569892,0.26971326164874554
3364,5.934883720930233,0.40930232558139534,3.2,0.2651162790697674,0.7441860465116279
3365,1.5789473684210527,0.631578947368421,0.42105263157894735,0.10526315789473684,0.05263157894736842
3366,18.905437352245862,1.2411347517730495,7.839243498817967,0.75177304964539,1.2458628841607564
3367,1.5454545454545454,0.5454545454545454,0.7272727272727273,0.2727272727272727,0
3368,7.10410094637224,0.8927444794952681,2.637223974763407,0.42586750788643535,0.26498422712933756
3369,16.232288037166086,2.2392566782810683,9.51451800232288,0.8885017421602788,0.40185830429732866
3370,14.108967082860387,2.2780930760499434,4.979568671963678,1.3200908059023837,0.24517593643586832
3371,5.184668989547038,1.0592334494773519,1.7979094076655053,0.42160278745644597,0.08362369337979095
3372,0.6818181818181818,0.045454545454545456,0.6818181818181818,0.045454545454545456,0.3181818181818182
3373,3.9027777777777777,0.4027777777777778,1.2222222222222223,0.3194444444444444,0.3194444444444444
3374,4,0,1,0,0
3375,8.200636942675159,0.7245222929936306,4.898089171974522,0.5127388535031847,0.39171974522292996
3376,9.359223300970873,1.8932038834951457,1.3786407766990292,0.6699029126213593,0.13592233009708737
3377,5.816666666666666,2.506666666666667,1.35,0.5466666666666666,0.03666666666666667
3378,4.67741935483871,0.3719165085388994,4.413662239089184,0.45920303605313095,0.8500948766603416
3379,7.208602150537635,1.4602150537634409,2.7698924731182797,0.5655913978494623,0.12473118279569892
3380,10.953164556962026,1.1341772151898735,7.111392405063291,0.6886075949367089,0.6
3381,1.4857142857142858,0.2,0.7428571428571429,0.17142857142857143,0.05714285714285714
3382,2.941860465116279,1.930232558139535,0.8953488372093024,0.3953488372093023,0.12790697674418605
3383,7.455813953488372,2.302325581395349,2.227906976744186,0.7813953488372093,0.26744186046511625
3384,9.557291666666666,1.5208333333333333,2.4505208333333335,0.578125,0.12239583333333333
3385,0,0.3333333333333333,0.3333333333333333,0,0
3386,1.8571428571428572,0.7857142857142857,0.40476190476190477,0.09523809523809523,0
3387,6.46,2.15,1.81,0.56,0.07
3388,1.9722222222222223,0.3611111111111111,3.361111111111111,0.125,0.4444444444444444
3389,6.362725450901803,1.9759519038076152,1.404809619238477,0.501002004008016,0.056112224448897796
3390,4.774244833068362,1.2686804451510334,4.074721780604134,0.6915739268680445,0.5135135135135135
