player,ppg,apg,rpg,bpg,num_seasons,MVPs,Finals_MVP,Championships,ROTY,DPOTY,CPOY,NBA1st,NBA2nd,NBA3rd,DEF1st,DEF2nd,AllStarCount,hof
Lorenzo Willi,2.9920948617,0.976284585,6.3359683794,1.3833992095,7,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Malik Sealy,10.050709939,1.6551724138,3.215010142,0.3184584178,8,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Marcus Webb,4.3333333333,0.2222222222,1.1111111111,0.2222222222,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Marlon Maxey,4.887755102,0.2244897959,3.7040816327,0.5204081633,2,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Matt Geiger,9.1648550725,0.7028985507,5.7210144928,0.6286231884,10,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Matt Othick,2.0,1.75,0.5,0.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Melvin Newber,3.6060606061,1.7272727273,1.1212121212,0.0303030303,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Oliver Miller,7.3529411765,2.1521298174,5.8681541582,1.537525355,9,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Pat Durham,5.046875,0.890625,1.6875,0.515625,2,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Radisav ƒÜurƒ,2.9,0.6,2.45,0.1,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Randy Woods,2.357615894,1.701986755,0.6158940397,0.0264900662,4,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Reggie Smith,1.5,0.0757575758,1.8181818182,0.1060606061,2,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Richard Dumas,10.588235294,1.0882352941,3.4411764706,0.4607843137,3,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Ricky Blanton,3.0,0.5,1.5,0.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Robert Horry,6.9692863595,2.1165311653,4.7597109304,0.9349593496,16,0,0.0,7.0,0,0,0,0,0,0,0,0,0,False
Robert Werdan,2.1489361702,0.1914893617,1.7234042553,0.170212766,3,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Sam Mack,7.7644787645,1.2972972973,2.0579150579,0.1428571429,7,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Sean Rooks,6.2429906542,0.8424566088,3.8411214953,0.6662216288,12,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Shaquille O'N,23.691797846,2.5070422535,10.852526926,2.2634631317,19,1,3.0,4.0,1,0,0,8,2,4,0,3,15,True
Stephen Howar,2.8,0.2083333333,1.4416666667,0.2333333333,4,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Thomas Jordan,11.0,0.75,4.75,1.25,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Todd Day,12.250517598,1.4761904762,3.4140786749,0.602484472,8,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Tom Gugliotta,12.968545216,2.8047182176,7.3250327654,0.6448230668,13,0,0.0,0.0,0,0,0,0,0,0,0,0,1,False
Tony Bennett,3.5394736842,1.9934210526,1.0197368421,0.0065789474,3,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Tracy Murray,9.0182094082,0.7708649469,2.502276176,0.2443095599,12,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
